"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","type","elevation","elevationAccuracy","county","preparations"
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",41.446125,2.163844,"EUROPE","Barcelona",2019,9,9,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4957848450",NA,"Serra de Collserola - N2000",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",41.446341,2.163993,"EUROPE","Barcelona",2019,9,9,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4956324616",NA,"Serra de Collserola - N2000",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",41.966766,12.69599,"EUROPE","Lazio",2019,9,8,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4956434357",NA,"Guidonia Montecelio (comuni)",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",41.446394,2.165476,"EUROPE","Barcelona",2019,9,24,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4956872995",NA,"Serra de Collserola - N2000",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",36.760495,-5.57048,"EUROPE","Cádiz",2019,9,7,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4956423302",NA,"Prado del Rey",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",36.760498,-5.570473,"EUROPE","Cádiz",2019,9,7,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4957635520",NA,"Prado del Rey",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",40.669197,0.253394,"EUROPE","Castellón",2019,9,4,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4956977369",NA,"La Pobla de Benifassà",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",42.017595,-0.025154,"EUROPE","Huesca",2019,9,26,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4957224821",NA,"Laluenga",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",39.475144,-0.417913,"EUROPE","Valencia",2019,9,23,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4957257080",NA,"Mislata",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",38.685788,-8.955521,"EUROPE","Setúbal",2019,9,15,"cdc,cdround","https://www.inaturalist.org/observations/32783627","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2423086964","32783627",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",32.229027,-110.9565,"NORTH_AMERICA","Arizona",2019,9,10,"cdc,cdround","https://www.inaturalist.org/observations/32803402","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4606549382","32803402",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",34.092014,-118.174805,"NORTH_AMERICA","California",2019,9,15,"cdc,cdround","https://www.inaturalist.org/observations/32804376","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2423092333","32804376",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",32.225395,-110.932738,"NORTH_AMERICA","Arizona",2019,9,15,"cdc,cdround","https://www.inaturalist.org/observations/32864205","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2423107551","32864205",NA,NA,NA,NA,NA,NA
